movie_name,description,director
The Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Olivier Nakache,57,810,"Although the real-life 'Driss' was a young Algerian man called Abdel, directors ",,"I am now trying to find words to describe this movie for an hour. I couldn't.,You've seen it, or you haven't. It's monumental and outrageously good.,The cast is brilliant. The jokes lovely. The story and the idea behind the movie is beautiful. Especially when you've worked/lived with handicapped people. The music is such a perfect choice, it is unbelievable.,I hope this movie makes a plenty of people think about how good their life is and how bad it could have been.,Bottom line: Oscar-worthy. Period.","François Cluzet,Omar Sy,Anne Le Ny","€9,500,000 (estimated)"
Harakiri,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Masaki Kobayashi,85,294,"While filming, ",,"I have seen this movie numerous times (at least 10, probably many more), and enjoy it each time.  The first couple of times I saw it was right after it came out.  It did not have sub-titles, and as my Japanese is not very good, I made some assumptions about the characters, relationships, the plot,etc. When I saw it with sub-titles, I was surprised at how few incorrect assumptions I had made.  That I made so few errors is no credit to me, but rather to how well the plot, character development, character relationships, and the overall movie were done.,The movie is not limited to feudal Japan, for it transcends this era.  It has lessons, for those who look for this in art.  For instance, just one example occurs to me now:  It underscores the need for a person to stand on principle, and to maintain their honor, ethics, and dignity, even when those who are the political leaders have long since lost theirs.  However for purely entertainment value, the realism, suspense, art, and action could not be better. Words fail to express how this film captivates and entertains. Few films can equal this one.  It is a ""must see.""","Tatsuya Nakadai,Akira Ishihama,Shima Iwashita","$15,222"
Casablanca,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Michael Curtiz,100,1.4K,Many of the actors who played the Nazis were in fact German Jews who had escaped from Nazi Germany.,,"There are literally hundreds of comments about this movie on IMDB.  Many of them exhort its greatness.  I don't disagree with them.,But I'd like to add a suggestion to those of you out there who haven't seen this film.  I'd like to tell you HOW to watch it.,The people who made this movie didn't think they were producing a masterpiece. Bergman left the shoot disgusted.  The screenwriters were on salary for Warners, writing half a dozen movies a year, and this was just one more.  Bogie was punching the clock in the middle of a workhorse career.,So as an audience member, you can't sit down expecting gilded greatness.,Don't have a Casablaca party.  Don't watch it on your first date, hoping it will lend that ""Romantic Touch.""  Don't watch it as part of your ""I need to watch the Best 10 movies of all time"" Film School project.,Buy this movie on DVD.  Have it at the ready.  And then, one Friday night, when your plans fall through and you find it's 10:30pm and there's nothing on TV that's any good, open a six pack of beer, or pour yourself some wine, and watch this movie in a darkened room.,The characters in Casablanca are absolutely devoid of sentimentalism.  Every one of them sees the world without a hint of rose color in their lenses.  As Rick says, ""Three little people don't amount to a hill of beans in this big old world.""  If you're in a mood where you understand what he's saying, watch this movie and it will transport you.,There is no single movie that deserves to be called the best movie of all time.  Because movies, when all is said and done, don't amount to a hill of beans.  They are meant to entertain us, not for us to worship THEM.,But no movie has ever known this fact like Casablanca.,
If you watch Casablance this way, with no expectations, with no ""hype,"" you might catch 10 percent of its greatness on one viewing.  And that will be enough to start you on your way.,Happy viewing, kid.","Humphrey Bogart,Ingrid Bergman,Paul Henreid","$950,000 (estimated)"
Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,89,1.5K,"During the more intense practice scenes, the director wouldn't yell, ""cut!"" so that ",,"Greetings again from the darkness. The pursuit of greatness is not always pretty. No matter if your dream is athletics, dancing, music or some other; you can be sure hard work and sacrifice will be part of your routine. You will likely have a mentor, teacher or coach whose job is to cultivate your skills while pushing you to new limits. This film questions whether the best approach is intimidation or society's current preferred method of nurturing.,Miles Teller plays Andrew, a first year student at an elite Manhattan music conservatory. Andrew dreams of being a great jazz drummer in the vein of Buddy Rich. When offered a rare shot at the top ensemble, Andrew quickly discovers the conductor is a breed unlike anything he has ever encountered. The best movie comparison I can offer for JK Simmons' portrayal of Terence Fletcher is R Lee Ermey's Drill Instructor in Full Metal Jacket. This is no Mr Holland's Opus. Fletcher bullies, intimidates, humiliates and uses every imaginable form of verbal abuse to push his musicians, and especially young Andrew, to reach for greater heights.,Andrew and Fletcher go head to head through the entire movie, with Fletcher's mental torment turning this into a psychological thriller ... albeit with tremendous music. We witness Andrew shut out all pieces of a personal life, and even take on some of Fletcher's less desirable traits. Andrew's diner break-up with his girlfriend (Melissa Benoist) is much shorter, but just as cold as the infamous opening scene in The Social Network. At a small dinner party, Andrew loses some of the sweetness he inherited from his dad (Paul Reiser), and unloads some Fletcherisms on some unsuspecting family friends.,Writer/Director Damien Chazelle has turned his Sundance award-winning short film into a fascinatingly brutal message movie that begs for discussion and debate. The open-ended approach is brilliant, though I found myself initially upset at the missing clean wrap that Hollywood so often provides. What price greatness? Is comeuppance a reward? Are mentors cruel to be kind? For the past few years, I have been proclaiming that Miles Teller (The Spectacular Now) is the next John Cusack. Perhaps that bar is too low. Teller just gets better with each film. His relentless energy draws us in, and we find ourselves in his corner ... even though this time, he's not the greatest guy himself. Still, as strong as Teller is, the film is owned by JK Simmons. Most think of him as the dad in Juno, or the ever-present insurance spokesman on TV, but he previously flashed his bad side as the white supremacist in ""Oz"". Even that, doesn't prepare us for Simmons' powerhouse performance ... just enough humanity to heighten his psychological torturing of musicians.,You should see this one for Simmons' performance. Or see it for the up and coming Teller. Enjoy the terrific music, especially Duke Ellington's ""Caravan"". See it for the talking points about teachers, society and personal greatness. See it for any or all these reasons - just don't tell director Damien Chazelle ""good job"".","Miles Teller,J.K. Simmons,Melissa Benoist","$3,300,000 (estimated)"
The Prestige,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan,66,1.6K," was a stage character created by William Ellsworth Robinson, a white man who disguised himself as a Chinese man to cash in on audiences' enthusiasm for the exotic. Robinson lived as Chung, never breaking character while in public. He died in March 1918, when a bullet-catch trick went wrong. ""My God, I've been shot"" were both his last words and the first English he had spoken on stage in nineteen years.",,"The Prestige is a masterful exercise in storytelling with superb direction and powerful performances by a grand ensemble cast. From set and production design to cinematography, from script to presentation, Christopher Nolan has once again demonstrated why he is one of the film world's brightest up and coming directors. The Prestige only helps solidify his standing as one of the landmark directors of his generation.,Told in a narrative that jumps between various points along its time line, playing out like a magic act itself, the story is that of two magicians on the rise in their careers. The first -- played by Christian Bale -- is an expert in understanding the fundamentals of any trick, but lacks showmanship. The second -- played by Hugh Jackman -- is a master showman who is more entertaining than technical. A tragic series of events pits the two performers against each other in a battle of wits that spirals further and further out of control, consuming both of them and everything and everyone they care about.,With a story that requires actors with a great deal of emotive range, Nolan has assembled what could be described as a dream cast. Both Bale and Jackman suit their respective roles perfectly, and pitting these two performers against each other was a stroke of casting genius. Michael Caine takes what could have been a forgettable role by any lesser actor and elevates it with his demanding screen presence. Probably the most surprising performance comes from David Bowie whose unforgettable turn as master physicist Nikola Tesla absolutely shines. Add Andy Serkis to the mix, and what is assembled is a group of performers who know how to fully engage the audience.,The Prestige is hard to pigeonhole into any specific genre as it walks the fine line between mystery, drama, suspense and fantasy. In that, the story becomes a never-ending stream of wonder for the mind: one can never tell exactly where the story is going to lead next, becoming more and more as time goes on. This gives Christopher Nolan ample opportunity to play. And play he does. With narration by several characters, each adding their own viewpoint to the events, and with a direction that moves between time to mystify and distract, the end result is a climax that itself is a series of puzzles that each unravel beautifully.,The only major criticisms that can be leveled at the Prestige are a confusing play with the seasons during Tesla's introduction (winter suddenly becomes spring/summer and back again) and a strange choice of music for the closing credits (a pop song at the end of a film such as this seems tacky). However, neither is significant enough of a problem to warrant any need to avoid the film at all.,In the end, the Prestige is a fantastic display of what can be accomplished when you bring together superior talent. It is certainly worth the price of admission and as good as any magic show you are to come across.","Christian Bale,Hugh Jackman,Scarlett Johansson","$40,000,000 (estimated)"
The Usual Suspects,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Bryan Singer,77,1.4K,"When Redfoot flicks his cigarette into the face of McManus, it was originally intended to hit his chest, so McManus' reaction is actually ",,"The Usual Suspects is two movies in one.  Enjoyable the first time you watch it, even more enjoyable the second time round.  The first viewing asks questions that are answered in an `I could kick myself' moment in the final few minutes, and the second viewing is interesting because when you know the answers, the film becomes that much clearer.  It requires a certain amount of commitment, though.  Be warned, if you stop concentrating for a moment then the remaining running time of the movie will be spent trying to figure out how what you missed has lead to what you are now watching.,It concerns the story of five felons brought in by the police for a line-up and how those same felons reluctantly end up working for the mysterious and ghost-like Keyser Soze: a legend among the criminal fraternity, a man who no-one has seen and lived, a man so dangerous that he is thought to be the devil himself.you get the idea.  The plot is rather intricate so I shan't bother to explain it here but it does rather make me think that Christopher McQuarrie, the writer, kept going to the office in the morning with yet another complexity to add that he thought up the night before.  That's not to say it doesn't work, far from it, but it does leave you reeling from the sheer amount of information and names thrown at you from the offset.,Gabriel Byrne is good, but not flawless, as the tortured Dean Keaton who is torn between his career as a criminal and his forlorn attempt at trying to go straight, but his relationship with uptown lawyer Edie Finneran (Suzy Amis) is badly explored and I never felt it gave motive enough for his actions throughout the movie.  Kevin Spacey is wonderful as the crippled Roger 'Verbal' Kint and is effective with the results both cunning and tragic.  The real star of the movie, however, is a strangely accented Pete Postlethwaite as Kobayashi, supposedly Keyser Soze's right-hand man.  He effortlessly plays a character of terrible coolness and poker-faced efficiency leading the dance that the rest of the characters must follow.,Director Bryan Singer has done well to bring such a momentous and involved screenplay to life and any gripes I may have cannot detract from the fact that the film, as a whole, is much better than the sum of its parts.","Kevin Spacey,Gabriel Byrne,Chazz Palminteri","$6,000,000 (estimated)"
The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,85,2.5K,Take a look back at ,,"Like i said, this film is about the mark of a great director, in this case a well paced, well written, violent movie with a great choice of songs, a mark that Scorsese is known for doing so well, but this one here is not his best film (not saying it's bad, far from it) but definitely not the one he should have won the oscar for, in my opinion the film that the Academy should give his best director award, was way back for Raging Bull, also not forgetting that he wasn't even nominated for Taxi Driver, but anyway, judging this film, it have a great cast, full of good performances, especially by Leonardo Dicaprio and Mark Wahlberg.,Also, this movie is a remake of a 2002 Hong Kong film called Mou gaan dou, the second time that Scorsese did a remake, the first one being Cape Fear (1991).","Leonardo DiCaprio,Matt Damon,Jack Nicholson","$90,000,000 (estimated)"
American History X,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Tony Kaye,62,1.6K, turned down ,,"A good friend of mine suggested this film, and I really didnt know what to expect going in, but after this film was over, I sat in stunned silence. I knew that racism was horrible, but I found through this film that it does not come without a terrible price..the loss of love, friends, family...and the realization that everything that you believed to be true isnt always the way things are. Edward Norton's performance takes the viewer through this journey, and its not a pretty one. He goes from an bright young man, to a vengeful bigot, to a remorseful excon with a brothers life in jeopardy, and you feel as though you are looking in on someones life in the course of 2 hrs. All of the acting in this film is first rate, and the ending wasnt quite as predictable as others might have you believe...it is quite shocking, as is much of the film. It causes quite a debate on the way people view others whos skin color is not the same. As Dr. King said, judge me not on the color of my skin, but on the content of my character. I live with racism, because I am a black man living in America...it exists, but if we educate ourselves like the main character in AHX, it wont stay around for much longer. Hopefully it wont be too late, as it was for him. Peace and Love, JB33  Rating 5 stars","Edward Norton,Edward Furlong,Beverly D'Angelo","$20,000,000 (estimated)"
Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,67,2.9K,'s score is one of the bestselling movie soundtracks of all time.,,"I love history, and to me, Gladiator is a masterpiece. It is the most accurate picture of the Roman Empire Hollywood has ever put out.  People declare Spartacus a masterpiece, but Gladiator far outdoes Spartacus in quality.  The costuming, the acting, the screenplay, the scenery, and the fighting styles made me think that I had traveled back to 180 A.D. Russell Crowe is a true Hollywood tough guy, and he is superb in this movie. Joaquin Phoenix is outstanding as a villain, one of the best in movie history.  He played his character as if it were a psychologist's dream case. Connie Nielsen plays one of the strongest female characters that I have ever seen.  The choreographer of the action sequences was brilliant. Ridley Scott did an outstanding job in recreating the Empire, including the multitude of ethnic groups within the Empire and accurately depicting everyday life.  If you're looking for insight into what the Roman Empire was like, this is a perfect depiction.","Russell Crowe,Joaquin Phoenix,Connie Nielsen","$103,000,000 (estimated)"
The Lion King,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Roger Allers,88,1.1K, provided all the lion roars. Not a single recording of an actual lion roaring was used because the producers wanted specific sounding roars for each lion.,,"This movie is, quite seriously, the Citizen Kane of Disney animation. Every animated movie from Disney ever since has been a failed attempt to recreate the masterpiece that this film is. This movie is an anomaly in a market usually dominated by formulaic kiddie-fare. Unlike most films from animation studios, this movie will enthrall you, whether you're 5 years old, or 50. An epic plot, intriguing characters, great music and hillarious moments make this film a family classic that will endure through the ages. 10/10","Matthew Broderick,Jeremy Irons,James Earl Jones","$45,000,000 (estimated)"
Léon: The Professional,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,64,1.4K,According to ,,"This film, better known in the U.S. as ""The Professional"", is a wonderful and intense film. Jean Reno plays his role as a ""cleaner"" with incredible subtlety. Leon tries to keep his emotions completely suppressed, yet Matilda (in an extraordinary performance by a young Natalie Portman, who is destined to become a very powerful actress into her adult life) bring out in him a new-found joy for life that accompanies his growing paternal instincts. But, the most dynamic element of this film is undeniably Gary Oldman's performance as a wildly sadistic and crooked DEA agent with his own narcotic-induced demons. His obsessions eventually lead him to the brink of absolute madness in his hunt for the cleaner. Truly, this is Oldman's finest performance to date, worthy of Oscar glory, though sadly forgotten. And so, Luc Besson did indeed top his triumph of ""La Femme Nikita"" by far with this masterpiece. Though, I cannot exactly praise his most recent effort with the sci-fi misfire, ""The Fifth Element.""","Jean Reno,Gary Oldman,Natalie Portman","FRF 115,000,000 (estimated)"
Parasite,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,96,3.5K,"The Parks' house, said in the film to be designed by a fictional architect named Namgoong Hyeonja, was a set completely built from scratch.",,"In a meritocracy, success and fortune are reserved for those who deserve it--those who develop solid plans according to their talents and abilities and who execute those plans through hard work and determination. Anyone can rise to the top, and for some lucky Cinderella, plucked from the cinders and gussied up in gowns, the meritocracy represents the heights of perfect egalitarian society: ""I started with nothing and ended up with everything I ever desired; you, too, can achieve you dreams, if only you try."",The promise of unobstructed sunshine at the top of the mountain becomes justification for bitter competition, backstabbing, deceit, and callousness. You climb the crooked ladder until you make it to the straight one, and then, perhaps, when you at last feel secure, you can afford to be kind and confident and generous. ""It's easy to be nice when you're rich,"" the mother in this film (Jang Hye-jin) at one point observes.,But it's a very long and very crooked ladder, and sometimes the rungs give out beneath your grip, and sometimes they've been dangerously greased by those who climbed before you, and sometimes the ladder itself is simply kicked down--either by those above you or, just as often, by those staring up from the ground below. There are a lot of people trying to climb that one ladder.,But in a meritocracy, you can't blame the ladder or the other people trying to climb it. Nor can you blame the fact that all the good stuff is kept so many stories up instead of down at the ground where everyone can easily reach it. No, you must blame yourself. You should have tread more carefully. You should have climbed more quickly. You should have used a firmer and more precise grip, anticipated disasters, and known just when to leap. If you fail in a meritocracy, it's all your fault. You should have tried harder. Better luck next time.,Kim Ki-woo (Choi Woo-sik), the young man who is the main character of PARASITE, several times refers to ""metaphors,"" and the film itself is, of course, a metaphor. On a surface level, viewers are treated to a very thrilling, engaging, well-paced and well-plotted crime story. At all times, however, bubbling up from beneath the slick surface of this genre film, there are deeply personal, meaningful truths that should resonate with almost any viewer. These insights are rarely foregrounded. They are so subtly interwoven, in fact, that if you're like me, you may be completely surprised when the final shots of the film roll and you realize that you are emotionally devastated by the intimate, humanist story you've just witnessed. Bong Joon-ho's filmmaking is so extraordinary here that he'll make you fully invested in the lives of his characters without you even realizing he's done so.,I want to avoid spoilers here, but suffice it to say that PARASITE is a masterpiece--beautifully lensed, enthrallingly edited, superbly acted, and intimately involving.,South Korea has a population that is one sixth the size of the United States, and that population is stacked into skyscrapers in an area slightly smaller than the state of Kentucky. Higher education is widespread, so parents with means try to make their children stand above the pack by hiring them tutors and signing them up for extracurriculars and afterschool programs. I lived in Korea once, and the children I taught there were sometimes engaged in learning ten to twelve hours a day, six days a week--public school, English-immersion private school, piano class, soccer team, taekwondo, math camp, chess club, and so on. I routinely worked sixty to seventy hours a week on salary, but at bars I would meet young men my age who were expected to work far more than that, who slept at their desks so that they did not need to pry themselves from work for too long. As the father (Song Kang-ho) in the film at one point says, this is a country where fifty young men with college degrees apply for a mere security guard job. One can't afford not to struggle.,The themes of this story are not just localized to Korea, however. They are the story of global capitalism, and the specter of American materialism (and imperialism; note the ""Indians"") looms heavily over the film. Meritocracy makes cannibals of us all. It's nice to dream, and sometimes the dreamers who plan and struggle well enough can indeed climb out of the basement and into the sunshine, and how nice an ending it is when they do. But the film also makes it clear that sometimes all that planning and dreaming may be, maybe, just whims and fancy. More often, it seems, our pipe dreams are content to leave us with nothing more than the whiff of spewed sewage.","Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong","$11,400,000 (estimated)"
The Pianist,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Roman Polanski,85,1K,"During the shooting of the movie, while scouting locations in Krakow, ",,"The Pianist is the true story of Wladyslaw Szpilman, at the time Poland's most acclaimed pianist whose life is transformed during the Nazi occupation of Warsaw beginning in 1939.  The film spans several years and maps his many personal trials in addition to providing the perspectives of his family, rebel factions and sympathizers.,Brilliantly directed by Roman Polanski and starring an amazing Adrien Brody, The Pianist is bound to garner comparisons to Schindler's List, for obvious reasons.  However similar the subject matter, the approach is different. While Schindler's List was filmed in a beautiful, crisp black and white that offered many incredible images, The Pianist was filmed with almost muted color.  Schindler's List featured what has been argued as a complicated hero.  Oskar Schindler did save many Jews, but not without battling his own materialistic demons first.  The Pianist's Szpilman is a sympathetic character throughout.  His plight was desperate, and the demons he fought were over his own guilt in surviving a fight that eventually turns into a primal will to live.,Polanski does not spare the viewer any grief with his film.  The horrific scenes between the Nazis and the Warsaw Jews were more terrifying and horrible than any horror/suspense movie I have seen in some time, possibly ever.  The humiliation and complete loss is wrenching.  In several scenes, Jews are lined up in the middle of the night and subjected to either torture or death.  In one case, a woman asks of a Nazi officer, ""What will happen to us?"" and is promptly shot point blank in the head.  The camera does not flinch or subdue any of these atrocities.,A mention must be made of Brody's performance.  Having only previously seen Brody in two other films, Spike Lee's ""Summer of Sam"" and Terrence Malick's ""The Thin Red Line"" (a part that was supposed to be his launch into stardom before his part was unfortunately cut drastically) I knew his potential was great.  After his Oscar win, I viewed this movie with more criticism than I normally would have and he certainly did not disappoint.  He transcended my expectations.  His physical transformation was amazing, but more importantly, he conveyed the sorrow of this man shockingly well - in both verbal and non-verbal contexts.  It will be very interesting to see what kind of opportunities this role will afford him, and the kinds of roles he will accept.,Something worth mentioning is the affect this movie had on the audience with whom I viewed this film.  Normally, when a film ends, the regular hardcore filmsters like myself will stay and watch the credits in their entirety. The rest of the audience stands up and leaves, usually to the chagrin of the remaining enthusiasts.  This was one of the few times I have seen a film at a theater where not one person stood to leave during the final credits. It wasn't until the house lights came up at the end did people begin to disperse.  Personally, I hightailed it out of the theater the second the lights came on because not only was my face a mess from crying during the film (Tammy Faye comes to mind) but I had this overwhelming need for an emotional release, so when I reached my car I sat and wept for about five minutes.  It has been years since I have watched a film that upset me to that extent. Conversely, while discussing this film with my brother, (someone who loves movies as much and has similar tastes as I do) he mentioned that while he thought the movie was excellent, he wasn't as profoundly emotionally effected as I was.  After thinking about this for a couple of days, I realized the difference: The music.  As a classical music enthusiast and erstwhile musician, the thought of not being able to enjoy, much less play the music you love is a tragic one.  Then the emotional outpouring that comes when you return to it - there aren't words to describe how intense that is.  Not having the same appreciation for this musical genre, one will be able to sympathize with the physical and emotional tribulations, but perhaps not in the musical sense.,The Pianist was truly an astonishing film.  I was riveted from start to finish and so emotionally affected that I couldn't even consider writing a review until a week later.  Having said that, I am filing this away with my list of movies which include Schindlers List and Philadelphia, as films that I love but cannot rewatch for a long time after due to their intensely emotional content.,--Shelly","Adrien Brody,Thomas Kretschmann,Frank Finlay","$35,000,000 (estimated)"
Psycho,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",Alfred Hitchcock,97,1.5K,"Take a look iconic moments from Alfred Hitchcock's film with Anthony Perkins, Janet Leigh, and Vera Miles.",,"Robert Bloch wrote the original work, Joseph Stefano adapted it into a tight screenplay but it was Alfred Hitchcock with the extraordinary complicity of Bernard Herrmann who transformed this lurid tale into a classic, horror masterpiece. The score propels us into the moment before the moment arrives provoking the sort of anticipation that verges on the unbearable. The fact that the key scenes have become iconic film moments: copied, imitated, emulated and parodied, have not diminished its impact, not really. The anticipation, underlined by Herrmann's strings, creates a sort of craving for the moment to arrive. That doesn't happen very often. No amount of planning can produce it or re-produce it - otherwise how do you explain the Gus Van Sant version - so, the only possible explanation is an accident, a miraculous film accident and those do happen. Everything falls into place so perfectly that even the things that one may argue are below the smart standard of the film, are needed, the film without every frame is not quite the film. Try to turn away after the climax during Simon Oakland's long explanation. You can't. I couldn't. Partly because you know you'll soon be confronting those eyes, that fly, the car...","Anthony Perkins,Janet Leigh,Vera Miles","$806,947 (estimated)"
Spirited Away,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Hayao Miyazaki,96,1.6K,"Despite having a rich plot with developed characters, ",,"This is a wonderfully imaginative and fantastical children's fantasy. It is easy to see why it was perhaps the critical hit of 2002. The film is glorious to look at. It is a testament to old fashioned animation techniques that seem to be resigned to foreign animations. Of course there is some use of computer imagery for certain shots but they blend seamlessly and the overall artistry involved is superlative.,This is the first Hayao Miyazaki film I have seen and I will certainly watch his others. The story plays on many elements successful with kids films, that transport you back to your own childhood and also allows the young audience to connect with the themes in the movie too. The story centres around Chihiro, a young girl about to move into a new place and who feels insecure about the new environment she will be living in. These fears become a part of her encounter with a strange abandoned amusement park that she and her parents find when they reach a dead end in their car. At the park they find that their is a stall that is seemingly open, with glorious displays of mouth watering food. There are no people about but Chihiros parents decide to gorge themselves on this bounty and pay later. As Chihioro explores she comes across a strange boy who warns her to get out before dark. It is too late however, because as night falls, ghosts are awakened, and then by the time she gets back to her parents they are turned into pigs. She then finds that the route she came from is gone and she is now trapped in this place, her only allie being the boy she met earlier. She is told to get a job at the centre piece of the park, a bath house run by Yubaba, an evil power mad witch. This is a bath house for the spirits and Chihiro has to find a job there before she is found and turned into an animal herself, then unable to save her parents.,The story is imaginative and the characters and animations endlessly unique and strange. This is just so much more creative than Hollywood. The characters are likeable and we become engrossed with Chihiros adventures inside this bathhouse, and the characters she comes into contact with as she tries to get her parents back as humans and whilst trying to get back to the human world. What I also loved in this film is that the animation gives it a real sense of cinematography, the drawing makes the film stand out in a way that American animations rarely do. Another film I think of that looked really good was Bellville Rendezvous. Another great point in fact the best part of it, is the fantastic score. It really is uplifting and very original. This is just great film making. *****","Daveigh Chase,Suzanne Pleshette,Miyu Irino","$19,000,000 (estimated)"
Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",Robert Zemeckis,87,1.4K,The rights to the film and its sequels are owned by ,,"What can I say about this movie that was already said? It is my favorite time travel sci-fi, adventure epic comedy in the 80's and I love this movie to death! When I saw this movie I was thrown out by its theme. An excellent sci-fi, adventure epic, I LOVE the 80s. It's simple the greatest time travel movie ever happened in the history of world cinema. I love this movie to death, I love, LOVE, love it! ,I firstly saw this movie in the early 90's as a kid on VHS tape and I was blow away by the action and the score and the title back to the future. This movie is one of the best masterpiece time travel epic adventure film. Michael J. Fox and Christopher Lloyd are fantastic at acting. Music theme score by Alan Silvestri is excellent I could listen to it whole day.,Back to the Future (1985) ,From the Academy Award ""- winning team of Steven Spielberg"" and Robert Zemeckis** comes the hilariously groundbreaking adventure that thrilled critics and audiences alike - and sparked one of the most successful movie trilogy ever! Directed by Robert Zemeckis the movie begins with Marty McFly (Michael J. Fox) a teenager who has a really messed up family. His ultimate goal was to become a rock star which was heartened by his girl friend Jennifer Parker (Claudia Wells). But things went wrong when scientist Dr. Emmett Brown/Doc (Christopher Lloyd) wanted Marty's assistance for his new invention.,At that night Marty went to assist Doc's invention the Time traveling Car ""DeLorean"". Marty was told to record Doc's first time travel to the future. At that instant they were attacked by some Libyan terrorists who were cheated by Doc for Plutonium.,After killing Doc they turn towards to Marty and without any intention Marty enters the Time Traveling car. But it was previously set by Doc and when activated Marty gets transfer to 1955 from 1985.,What will he do next, will he can come back to the future, or will he stuck back in the past for his rest of the life. More than that will his time travel make serious effects on the future? Dealing with time travel and time paradox Steven Spielberg presents this amazing journey of Marty set up in the time of 80's and 50's. Scripted by Robert Zemeckis and Bob Gale for the story of Bob Gale himself, tells a science fiction adventure in a family oriented tone.,They really work hard to sculpt that sci-fi thread into a thrilling, culture clashed family movie. A good story with a great script. Also the soul of the movie was given by the legend Alan Silvestri. His composition was all memorable especially in the chasing and emotional scenes. Over the top the theme music, it was the most dazzling and recognizable themes in the movie history.,More than that the casting was simply brilliant, each and every actor is born to play their respected roles in this movie. Michael J. Fox was the only actor who can play the role of energetic Marty McFly, which was considered for numerous actors. Also Thomas F. Wilson was brilliant in his performance as the Bad boy Biff Tannen. Lea Thompson did a great work in portraying Lorraine Baines's two different life times, as a teenage girl and a matured mother. Well the extra talented Christopher Lloyd had almost ""chewed every scenes"" in the movie. Mr. Lloyd's versatile performance as the madman and genius scientist Dr. Emmett Brown is one of the great memorable roles in his carrier.,Last but not the least, it was Crispin Glover who steal the show as the nerdy teenager/father as George McFly. It was an interesting portrayal as a boy who was transformed to a man. Crispin Glover lived in that part. I don't know whether the movie would be a masterpiece without his unique performance. Above all I want to remember this as a romantic movie and it couldn't be made without the songs ""The Power of Love,"" and ""Earth Angel"".,The rating I am giving is 10/10 the original and the best one of all time. I love this film, it is my favorite time travel movie of all time and I love it to death! All in all it is the greatest sci-fi, romantic movie of all time. It is the part of the great Movie History, which consider itself as "" A Modern/Classic Masterpiece! ""","Michael J. Fox,Christopher Lloyd,Lea Thompson","$19,000,000 (estimated)"
